home, homescore, awayscore, away, date, group
Bologna, 0, 2, Internazionale, "Sunday, December 14, 2003", "Renato Dall'Ara (32,000)"
Brescia, 2, 0, Empoli, "Sunday, December 14, 2003", "Mario Rigamonti (13,000)"
Juventus, 4, 0, Parma, "Sunday, December 14, 2003", "Delle Alpi (31,738)"
Reggina, 0, 0, Chievo Verona, "Sunday, December 14, 2003", "Stadio Granillo (20,000)"
AS Roma, 1, 0, Modena, "Sunday, December 14, 2003", "Olimpico (48,000)"
Udinese, 1, 0, Lecce, "Saturday, December 13, 2003", "Friuli (17,000)"
Perugia, 3, 3, Sampdoria, "Saturday, December 13, 2003", "Renato Curi (15,000)"
Bologna, 3, 2, Ancona, "Sunday, December 7, 2003", "Renato Dall'Ara (20,000)"
Internazionale, 2, 1, Perugia, "Sunday, December 7, 2003", "San Siro (50,000)"
Lecce, 1, 2, Parma, "Sunday, December 7, 2003", "Via del Mare (10,633)"
Modena, 1, 1, Brescia, "Sunday, December 7, 2003", "Stadio Alberto Braglia (14,000)"
Sampdoria, 2, 1, Siena, "Sunday, December 7, 2003", "Luigi Ferraris (25,000)"
Udinese, 1, 0, Reggina, "Sunday, December 7, 2003", "Friuli (17,000)"
Chievo Verona, 0, 3, AS Roma, "Sunday, December 7, 2003", "Bentegodi (19,000)"
Empoli, 0, 1, AC Milan, "Saturday, December 6, 2003", "Carlo Castellani (13,000)"
Lazio, 2, 0, Juventus, "Saturday, December 6, 2003", "Stadio Olimpico (60,000)"
AC Milan, 2, 0, Modena, "Sunday, November 30, 2003", "San Siro (55,000)"
AS Roma, 3, 1, Lecce, "Sunday, November 30, 2003", "Olimpico (50,000)"
Parma, 3, 1, Chievo Verona, "Sunday, November 30, 2003", "Ennio Tardini (12,000)"
Perugia, 1, 1, Empoli, "Sunday, November 30, 2003", "Renato Curi (18,000)"
Reggina, 0, 0, Bologna, "Sunday, November 30, 2003", "Stadio Granillo (20,000)"
Sampdoria, 2, 0, Ancona, "Sunday, November 30, 2003", "Luigi Ferraris (25,000)"
Brescia, 1, 2, Udinese, "Sunday, November 30, 2003", "Mario Rigamonti (14,000)"
Siena, 3, 0, Lazio, "Saturday, November 29, 2003", "Artemio Franchi (10,000)"
Juventus, 1, 3, Internazionale, "Saturday, November 29, 2003", "Delle Alpi (53,883)"
Ancona, 1, 1, Brescia, "Sunday, November 23, 2003", "Del Conero (11,703)"
Bologna, 0, 4, AS Roma, "Sunday, November 23, 2003", "Renato Dall'Ara (33,000)"
Empoli, 1, 0, Parma, "Sunday, November 23, 2003", "Carlo Castellani (4,500)"
Lazio, 3, 1, Perugia, "Sunday, November 23, 2003", "Stadio Olimpico (40,000)"
Lecce, 0, 0, Sampdoria, "Sunday, November 23, 2003", "Via del Mare (13,760)"
Udinese, 1, 1, Siena, "Sunday, November 23, 2003", "Friuli (16,000)"
Chievo Verona, 0, 2, AC Milan, "Sunday, November 23, 2003", "Bentegodi (45,000)"
Modena, 0, 2, Juventus, "Saturday, November 22, 2003", "Stadio Alberto Braglia (17,000)"
Internazionale, 6, 0, Reggina, "Saturday, November 22, 2003", "San Siro (55,000)"
Internazionale, 3, 0, Ancona, "Sunday, November 9, 2003", "San Siro (55,000)"
Juventus, 4, 1, Udinese, "Sunday, November 9, 2003", "Delle Alpi (31,418)"
Parma, 0, 0, AC Milan, "Sunday, November 9, 2003", "Ennio Tardini (25,000)"
Perugia, 2, 2, Lecce, "Sunday, November 9, 2003", "Renato Curi (10,000)"
Reggina, 1, 1, Modena, "Sunday, November 9, 2003", "Stadio Granillo (2,000)"
Siena, 1, 2, Chievo Verona, "Sunday, November 9, 2003", "Artemio Franchi (9,000)"
AS Roma, 2, 0, Lazio, "Sunday, November 9, 2003", "Olimpico (80,000)"
Sampdoria, 2, 0, Empoli, "Saturday, November 8, 2003", "Luigi Ferraris (25,000)"
