home, homescore, awayscore, away, date, group
Espanyol, 0, 1, Real Madrid, "Sunday, February 13, 2011", CornellÃ¡ - El Prat (39,000)
Atletico Madrid, 1, 2, Valencia, "Saturday, February 12, 2011", Vicente CalderÃ³n (47,000)
Sporting Gijon, 1, 1, Barcelona, "Saturday, February 12, 2011", El MolinÃ³n (23,000)
Racing Santander, 3, 2, Sevilla FC, "Saturday, February 12, 2011", El Sardinero (18,000)
Sevilla FC, 0, 0, Malaga, "Sunday, February 6, 2011", RamÃ³n SÃ¡nchez PizjuÃ¡n (40,000)
Real Madrid, 4, 1, Real Sociedad, "Sunday, February 6, 2011", Santiago BernabÃ©u (70,000)
Valencia, 2, 0, Hercules, "Sunday, February 6, 2011", Mestalla (43,000)
Almeria, 3, 2, Espanyol, "Saturday, February 5, 2011", Juegos MediterrÃ¡neos (12,000)
Athletic Bilbao, 3, 0, Sporting Gijon, "Saturday, February 5, 2011", San MamÃ©s (33,000)
Getafe, 4, 1, Deportivo La CoruÃ±a, "Saturday, February 5, 2011", Coliseum Alfonso PÃ©rez (11,000)
Osasuna, 1, 1, Mallorca, "Saturday, February 5, 2011", Reyno de Navarra (15,500)
Real Zaragoza, 1, 1, Racing Santander, "Saturday, February 5, 2011", La Romareda (24,000)
Villarreal, 0, 1, Levante, "Saturday, February 5, 2011", El Madrigal (16,000)
Barcelona, 3, 0, Atletico Madrid, "Saturday, February 5, 2011", Camp Nou (93,000)
Racing Santander, 1, 1, Valencia, "Monday, January 31, 2011", El Sardinero (15,000)
Atletico Madrid, 0, 2, Athletic Bilbao, "Sunday, January 30, 2011", Vicente CalderÃ³n (47,000)
Osasuna, 1, 0, Real Madrid, "Sunday, January 30, 2011", Reyno de Navarra (19,000)
Espanyol, 0, 1, Villarreal, "Sunday, January 30, 2011", CornellÃ¡ - El Prat (33,000)
Levante, 2, 0, Getafe, "Saturday, January 29, 2011", Ciutat de Valencia (14,000)
Malaga, 1, 2, Real Zaragoza, "Saturday, January 29, 2011", La Rosaleda (21,000)
Mallorca, 0, 4, Sporting Gijon, "Saturday, January 29, 2011", Iberostar Estadi (12,500)
Real Sociedad, 2, 0, Almeria, "Saturday, January 29, 2011", Anoeta (22,000)
Hercules, 0, 3, Barcelona, "Saturday, January 29, 2011", JosÃ© Rico PÃ©rez (29,000)
Deportivo La CoruÃ±a, 3, 3, Sevilla FC, "Saturday, January 29, 2011", Municipal de Riazor (31,000)
Athletic Bilbao, 3, 0, Hercules, "Monday, January 24, 2011", San MamÃ©s (26,000)
Almeria, 3, 2, Osasuna, "Sunday, January 23, 2011", Juegos MediterrÃ¡neos (10,000)
Getafe, 1, 3, Espanyol, "Sunday, January 23, 2011", Coliseum Alfonso PÃ©rez (11,000)
Real Zaragoza, 1, 0, Deportivo La CoruÃ±a, "Sunday, January 23, 2011", La Romareda (22,000)
Sporting Gijon, 1, 0, Atletico Madrid, "Sunday, January 23, 2011", El MolinÃ³n (22,000)
