home,homescore,awayscore,away,date,location
Hibernian,0,1,St Mirren,"Saturday, October 27, 2007","Easter Road Stadium (13,884)"
Kilmarnock,3,1,Heart of Midlothian,"Saturday, October 27, 2007","Rugby Park (6,373)"
Inverness Caledonian Thistle,1,2,Aberdeen,"Sunday, October 21, 2007","Caledonian Stadium (6,023)"
Rangers,3,0,Celtic,"Saturday, October 20, 2007","Ibrox Stadium (50,428)"
Falkirk,1,1,Kilmarnock,"Saturday, October 20, 2007","Falkirk Stadium (5,143)"
Heart of Midlothian,1,3,Dundee United,"Saturday, October 20, 2007","Tynecastle Stadium (16,661)"
Motherwell,2,1,Hibernian,"Saturday, October 20, 2007","Fir Park Stadium (7,071)"
St Mirren,1,0,Gretna,"Saturday, October 20, 2007","St Mirren Park (3,646)"
Aberdeen,4,0,St Mirren,"Sunday, October 7, 2007","Pittodrie Stadium (12,841)"
Gretna,1,2,Celtic,"Sunday, October 7, 2007","Fir Park Stadium (6,011)"
Dundee United,1,0,Motherwell,"Saturday, October 6, 2007","Tannadice Park (6,286)"
Heart of Midlothian,4,2,Falkirk,"Saturday, October 6, 2007","Tynecastle Stadium (15,800)"
Kilmarnock,2,2,Inverness Caledonian Thistle,"Saturday, October 6, 2007","Rugby Park (4,456)"
Rangers,0,1,Hibernian,"Saturday, October 6, 2007","Ibrox Stadium (50,440)"
St Mirren,1,3,Heart of Midlothian,"Sunday, September 30, 2007","St Mirren Park (4,233)"
Motherwell,1,1,Rangers,"Saturday, September 29, 2007","Fir Park Stadium (10,009)"
Aberdeen,2,0,Gretna,"Saturday, September 29, 2007","Pittodrie Stadium (10,279)"
Celtic,3,0,Dundee United,"Saturday, September 29, 2007","Celtic Park (57,006)"
Hibernian,4,1,Kilmarnock,"Saturday, September 29, 2007","Easter Road Stadium (14,500)"
Inverness Caledonian Thistle,4,2,Falkirk,"Saturday, September 29, 2007","Caledonian Stadium (4,011)"
Hibernian,3,2,Celtic,"Sunday, September 23, 2007","Easter Road Stadium (16,125)"
Rangers,3,0,Aberdeen,"Sunday, September 23, 2007","Ibrox Stadium (49,046)"
Falkirk,1,0,Motherwell,"Saturday, September 22, 2007","Falkirk Stadium (5,245)"
Gretna,3,2,Dundee United,"Saturday, September 22, 2007","Fir Park Stadium (1,624)"
Inverness Caledonian Thistle,2,1,Heart of Midlothian,"Saturday, September 22, 2007","Caledonian Stadium (4,918)"
Kilmarnock,0,0,St Mirren,"Saturday, September 22, 2007","Rugby Park (5,596)"
Dundee United,2,0,St Mirren,"Sunday, September 16, 2007","Tannadice Park (6,128)"
Heart of Midlothian,4,2,Rangers,"Saturday, September 15, 2007","Tynecastle Stadium (15,948)"
Aberdeen,1,2,Motherwell,"Saturday, September 15, 2007","Pittodrie Stadium (10,154)"
Celtic,5,0,Inverness Caledonian Thistle,"Saturday, September 15, 2007","Celtic Park (56,020)"
Falkirk,1,1,Hibernian,"Saturday, September 15, 2007","Falkirk Stadium (6,298)"
Gretna,1,2,Kilmarnock,"Saturday, September 15, 2007","Fir Park Stadium (1,516)"
Motherwell,0,2,Heart of Midlothian,"Monday, September 3, 2007","Fir Park Stadium (5,081)"
St Mirren,1,5,Celtic,"Sunday, September 2, 2007","St Mirren Park (7,840)"
Dundee United,2,0,Falkirk,"Saturday, September 1, 2007","Tannadice Park (6,864)"
Hibernian,1,0,Inverness Caledonian Thistle,"Saturday, September 1, 2007","Easter Road Stadium (13,258)"
Kilmarnock,0,1,Aberdeen,"Saturday, September 1, 2007","Rugby Park (5,814)"
Rangers,4,0,Gretna,"Saturday, September 1, 2007","Ibrox Stadium (49,689)"
Kilmarnock,1,2,Rangers,"Saturday, August 25, 2007","Rugby Park (11,544)"
Celtic,5,0,Heart of Midlothian,"Saturday, August 25, 2007","Celtic Park (57,300)"
Falkirk,0,1,St Mirren,"Saturday, August 25, 2007","Falkirk Stadium (5,626)"
Gretna,1,2,Motherwell,"Saturday, August 25, 2007","Fir Park Stadium (3,758)"
Hibernian,3,3,Aberdeen,"Saturday, August 25, 2007","Easter Road Stadium (15,280)"
Inverness Caledonian Thistle,0,3,Dundee United,"Saturday, August 25, 2007","Caledonian Stadium (4,178)"
Aberdeen,1,3,Celtic,"Sunday, August 19, 2007","Pittodrie Stadium (16,232)"
Dundee United,0,0,Hibernian,"Saturday, August 18, 2007","Tannadice Park (8,405)"
Heart of Midlothian,1,1,Gretna,"Saturday, August 18, 2007","Tynecastle Stadium (16,407)"
Motherwell,1,2,Kilmarnock,"Saturday, August 18, 2007","Fir Park Stadium (4,985)"
Rangers,7,2,Falkirk,"Saturday, August 18, 2007","Ibrox Stadium (47,419)"
St Mirren,2,1,Inverness Caledonian Thistle,"Saturday, August 18, 2007","St Mirren Park (3,309)"
Kilmarnock,2,1,Dundee United,"Monday, August 13, 2007","Rugby Park (5,557)"
Aberdeen,1,1,Heart of Midlothian,"Sunday, August 12, 2007","Pittodrie Stadium (13,134)"
Falkirk,1,4,Celtic,"Saturday, August 11, 2007","Falkirk Stadium (6,329)"
Hibernian,4,2,Gretna,"Saturday, August 11, 2007","Easter Road Stadium (13,795)"
Motherwell,2,1,Inverness Caledonian Thistle,"Saturday, August 11, 2007","Fir Park Stadium (4,259)"
Rangers,2,0,St Mirren,"Saturday, August 11, 2007","Ibrox Stadium (47,772)"
Heart of Midlothian,0,1,Hibernian,"Monday, August 6, 2007","Tynecastle Stadium "
Celtic,0,0,Kilmarnock,"Sunday, August 5, 2007","Celtic Park (60,000)"
Inverness Caledonian Thistle,0,3,Rangers,"Saturday, August 4, 2007","Caledonian Stadium (7,711)"
Dundee United,1,0,Aberdeen,"Saturday, August 4, 2007","Tannadice Park (12,496)"
Gretna,0,4,Falkirk,"Saturday, August 4, 2007","Raydale Park (2,731)"
St Mirren,0,1,Motherwell,"Saturday, August 4, 2007","St Mirren Park (5,257)"
