home,homescore,awayscore,away,date,location
VVV Venlo,0,5,SC Heracles Almelo,"Sunday, January 27, 2008","De Koel (5,862)"
Feyenoord Rotterdam,1,1,FC Groningen,"Sunday, January 27, 2008","De Kuip Stadion  "
Twente Enschede,1,2,Sparta Rotterdam,"Sunday, January 27, 2008","Arke Stadion (13,200)"
PSV Eindhoven,2,1,Excelsior,"Saturday, January 26, 2008","Philipsstadion (34,200)"
Roda JC Kerkrade,0,2,NAC Breda,"Saturday, January 26, 2008","Parkstad Limburg Stadion (14,800)"
De Graafschap,0,3,Heerenveen,"Saturday, January 26, 2008","De Vijverberg (12,200)"
Willem II Tilburg,3,0,AZ Alkmaar,"Friday, January 25, 2008","Willem II  (12,000)"
Feyenoord Rotterdam,3,1,Twente Enschede,"Thursday, January 24, 2008","De Kuip Stadion  (43,500)"
Ajax Amsterdam,2,0,FC Utrecht,"Wednesday, January 23, 2008","Amsterdam ArenA (45,537)"
De Graafschap,2,1,Roda JC Kerkrade,"Wednesday, January 23, 2008","De Vijverberg (12,000)"
FC Groningen,5,1,NEC Nijmegen,"Wednesday, January 23, 2008","Euroborg (19,378)"
Heerenveen,5,1,VVV Venlo,"Wednesday, January 23, 2008","Abe Lenstra Stadion (25,300)"
PSV Eindhoven,3,1,Sparta Rotterdam,"Wednesday, January 23, 2008","Philipsstadion (34,200)"
AZ Alkmaar,1,2,NAC Breda,"Tuesday, January 22, 2008","DSB Stadion (16,312)"
SC Heracles Almelo,2,0,Excelsior,"Tuesday, January 22, 2008","Polman Stadion (8,200)"
Willem II Tilburg,4,0,Vitesse Arnhem,"Tuesday, January 22, 2008","Willem II  "
NEC Nijmegen,1,1,Ajax Amsterdam,"Sunday, January 20, 2008","De Goffert (12,400)"
VVV Venlo,1,1,PSV Eindhoven,"Sunday, January 20, 2008","De Koel (6,000)"
Sparta Rotterdam,6,1,De Graafschap,"Sunday, January 20, 2008","ENECO (9,814)"
Twente Enschede,3,1,FC Groningen,"Sunday, January 20, 2008","Arke Stadion (13,250)"
Heerenveen,4,0,AZ Alkmaar,"Saturday, January 19, 2008","Abe Lenstra Stadion (25,000)"
NAC Breda,1,0,Willem II Tilburg,"Saturday, January 19, 2008","Fujifilm  (16,580)"
FC Utrecht,3,1,Roda JC Kerkrade,"Saturday, January 19, 2008","Nieuwe Galgenwaard (20,160)"
Vitesse Arnhem,2,0,SC Heracles Almelo,"Saturday, January 19, 2008","Gelredome (18,500)"
Excelsior,2,1,Feyenoord Rotterdam,"Friday, January 18, 2008","Stad Rotterdam Verzekeringen Stadion (3,760)"
De Graafschap,1,2,AZ Alkmaar,"Wednesday, January 16, 2008","De Vijverberg (12,000)"
De Graafschap,0,3,Vitesse Arnhem,"Sunday, January 13, 2008","De Vijverberg (12,000)"
Ajax Amsterdam,6,1,AZ Alkmaar,"Sunday, January 13, 2008","Amsterdam ArenA (50,639)"
FC Utrecht,2,2,Heerenveen,"Sunday, January 13, 2008","Nieuwe Galgenwaard (18,000)"
SC Heracles Almelo,2,0,Sparta Rotterdam,"Sunday, January 13, 2008","Polman Stadion (8,426)"
FC Groningen,3,2,Excelsior,"Saturday, January 12, 2008","Euroborg (19,500)"
NAC Breda,0,0,VVV Venlo,"Saturday, January 12, 2008","Fujifilm  (15,250)"
Roda JC Kerkrade,1,1,Willem II Tilburg,"Saturday, January 12, 2008","Parkstad Limburg Stadion (13,700)"
Feyenoord Rotterdam,0,1,PSV Eindhoven,"Saturday, January 12, 2008","De Kuip Stadion  (48,000)"
NEC Nijmegen,2,2,Twente Enschede,"Friday, January 11, 2008","De Goffert (12,000)"
VVV Venlo,2,2,Ajax Amsterdam,"Sunday, December 30, 2007","De Koel (6,000)"
AZ Alkmaar,1,0,SC Heracles Almelo,"Sunday, December 30, 2007","DSB Stadion (16,313)"
Excelsior,1,2,Roda JC Kerkrade,"Sunday, December 30, 2007","Stad Rotterdam Verzekeringen Stadion (3,085)"
Heerenveen,1,1,Feyenoord Rotterdam,"Sunday, December 30, 2007","Abe Lenstra Stadion (25,600)"
PSV Eindhoven,2,0,NAC Breda,"Sunday, December 30, 2007","Philipsstadion (33,500)"
Twente Enschede,2,0,De Graafschap,"Sunday, December 30, 2007","Arke Stadion (13,250)"
Vitesse Arnhem,2,2,FC Utrecht,"Sunday, December 30, 2007","Gelredome (18,773)"
Willem II Tilburg,3,0,NEC Nijmegen,"Sunday, December 30, 2007","Willem II  (12,000)"
Sparta Rotterdam,1,3,FC Groningen,"Saturday, December 29, 2007","ENECO (10,612)"
FC Utrecht,4,1,Excelsior,"Thursday, December 27, 2007","Nieuwe Galgenwaard (19,500)"
NAC Breda,1,2,Vitesse Arnhem,"Thursday, December 27, 2007","Fujifilm  (15,200)"
Roda JC Kerkrade,1,0,Heerenveen,"Thursday, December 27, 2007","Parkstad Limburg Stadion (18,400)"
Ajax Amsterdam,2,2,Twente Enschede,"Thursday, December 27, 2007","Amsterdam ArenA (50,523)"
SC Heracles Almelo,1,0,Willem II Tilburg,"Thursday, December 27, 2007","Polman Stadion (8,450)"
Feyenoord Rotterdam,2,0,Sparta Rotterdam,"Wednesday, December 26, 2007","De Kuip Stadion  (47,000)"
NEC Nijmegen,2,2,VVV Venlo,"Wednesday, December 26, 2007","De Goffert (12,300)"
FC Groningen,2,1,PSV Eindhoven,"Wednesday, December 26, 2007","Euroborg (19,872)"
Excelsior,2,1,Ajax Amsterdam,"Sunday, December 23, 2007","Stad Rotterdam Verzekeringen Stadion (3,500)"
NEC Nijmegen,0,2,Feyenoord Rotterdam,"Sunday, December 23, 2007","De Goffert (12,500)"
VVV Venlo,2,0,Vitesse Arnhem,"Sunday, December 23, 2007","De Koel (5,806)"
AZ Alkmaar,1,1,Roda JC Kerkrade,"Sunday, December 23, 2007","DSB Stadion (16,413)"
Heerenveen,1,2,Twente Enschede,"Saturday, December 22, 2007","Abe Lenstra Stadion (25,600)"
PSV Eindhoven,4,1,FC Utrecht,"Saturday, December 22, 2007","Philipsstadion (34,200)"
SC Heracles Almelo,1,2,FC Groningen,"Saturday, December 22, 2007","Polman Stadion (8,011)"
Willem II Tilburg,1,2,De Graafschap,"Friday, December 21, 2007","Willem II  (11,200)"
FC Groningen,1,0,Willem II Tilburg,"Sunday, December 16, 2007","Euroborg (19,250)"
FC Utrecht,3,1,SC Heracles Almelo,"Sunday, December 16, 2007","Nieuwe Galgenwaard (19,500)"
Vitesse Arnhem,3,0,Excelsior,"Sunday, December 16, 2007","Gelredome (17,000)"
