home, homescore, awayscore, away, date, group
Le Mans, 1, 1, Lille, "Saturday, October 15, 2005", "Leon Bollee (10,057)"
Lens, 2, 2, Nice, "Saturday, October 15, 2005", "Felix-Bollaert  (29,365)"
Strasbourg, 0, 1, Stade Rennes, "Saturday, October 15, 2005", "La Meinau (15,000)"
Lille, 0, 1, AS Monaco, "Sunday, October 2, 2005", "Lille Metropole (12,000)"
Stade Rennes, 1, 3, Lyon, "Sunday, October 2, 2005", "Route de Lorient  (28,998)"
Toulouse, 2, 0, AJ Auxerre, "Sunday, October 2, 2005", "Stadium Municipal (18,641)"
Troyes, 1, 1, Strasbourg, "Sunday, October 2, 2005", "Stade l'Aube (10,000)"
Nice, 0, 1, Marseille, "Sunday, October 2, 2005", "Municipal du Ray (14,283)"
Paris Saint-Germain , 2, 0, Nantes, "Saturday, October 1, 2005", "Parc de Princes "
Metz, 0, 1, Bordeaux, "Saturday, October 1, 2005", "Saint-Symphorien  (15,263)"
Sochaux, 0, 2, AS Nancy Lorraine, "Saturday, October 1, 2005", "Auguste-Bonal (11,732)"
St Etienne, 3, 0, Le Mans, "Saturday, October 1, 2005", "Geoffroy-Guichard (27,614)"
Nantes, 0, 1, Lyon, "Sunday, September 25, 2005", "La Beaujoire (35,500)"
