home, homescore, awayscore, away, date, stadium
Hansa Rostock, 0, 2, Bayer Leverkusen, "Saturday, November 27, 2004"," Ostseestadion (15,800)"
Kaiserslautern, 3, 0, SC Freiburg, "Saturday, November 27, 2004"," Fritz-Walter Stadion (30,741)"
VfL Bochum, 3, 1, Nurnberg, "Saturday, November 27, 2004"," Ruhrstadion (20,350)"
VfL Wolfsburg, 2, 3, Hertha Berlin, "Saturday, November 27, 2004"," Volkswagen Arena (23,886)"
Werder Bremen, 2, 0, Borussia Dortmund, "Saturday, November 27, 2004"," Weserstadion (43,000)"
Hamburg SV, 3, 1, VfL Wolfsburg, "Sunday, November 21, 2004"," AOL-Arena (48,246)"
Nurnberg, 1, 1, Hannover 96, "Sunday, November 21, 2004"," Frankenstadion (22,318)"
Arminia Bielefeld, 2, 1, Werder Bremen, "Saturday, November 20, 2004"," Schuco-Arena "
Bayer Leverkusen, 0, 3, Schalke 04, "Saturday, November 20, 2004"," BayArena (22,500)"
Bayern Munich, 3, 1, Kaiserslautern, "Saturday, November 20, 2004"," Olympiastadion (40,000)"
Borussia Dortmund, 2, 0, SC Freiburg, "Saturday, November 20, 2004"," Westfalenstadion (80,000)"
Hertha Berlin, 1, 1, Hansa Rostock, "Saturday, November 20, 2004"," Olympiastadion (43,286)"
Mainz, 1, 0, VfL Bochum, "Saturday, November 20, 2004"," Stadion am Bruchweg (20,300)"
VfB Stuttgart, 1, 0, Borussia Monchengladbach, "Saturday, November 20, 2004"," Gottlieb-Daimler Stadion (46,000)"
Hansa Rostock, 0, 6, Hamburg SV, "Sunday, November 14, 2004"," Ostseestadion (20,000)"
VfL Bochum, 1, 3, Bayern Munich, "Sunday, November 14, 2004"," Ruhrstadion (33,645)"
Borussia Monchengladbach, 2, 1, Nurnberg, "Saturday, November 13, 2004"," Borussia-Park (45,595)"
Hannover 96, 2, 0, Mainz, "Saturday, November 13, 2004"," AWD-Arena (31,078)"
Kaiserslautern, 1, 0, Borussia Dortmund, "Saturday, November 13, 2004"," Fritz-Walter Stadion (37,417)"
SC Freiburg, 2, 3, Arminia Bielefeld, "Saturday, November 13, 2004"," badenova-Stadion (21,000)"
Schalke 04, 1, 3, Hertha Berlin, "Saturday, November 13, 2004"," Arena AufSchalke (60,800)"
VfL Wolfsburg, 3, 0, VfB Stuttgart, "Saturday, November 13, 2004"," Volkswagen Arena (29,670)"
Werder Bremen, 2, 2, Bayer Leverkusen, "Saturday, November 13, 2004"," Weserstadion (38,128)"
Hamburg SV, 1, 2, Schalke 04, "Sunday, November 7, 2004"," AOL-Arena (53,487)"
VfB Stuttgart, 4, 0, Hansa Rostock, "Sunday, November 7, 2004"," Gottlieb-Daimler Stadion (46,000)"
Arminia Bielefeld, 1, 0, Borussia Dortmund, "Saturday, November 6, 2004"," Schuco-Arena (26,000)"
Bayer Leverkusen, 4, 1, SC Freiburg, "Saturday, November 6, 2004"," BayArena (22,500)"
Bayern Munich, 3, 0, Hannover 96, "Saturday, November 6, 2004"," Olympiastadion (62,000)"
Hertha Berlin, 1, 1, Werder Bremen, "Saturday, November 6, 2004"," Olympiastadion (47,411)"
Mainz, 1, 1, Borussia Monchengladbach, "Saturday, November 6, 2004"," Stadion am Bruchweg (20,800)"
Nurnberg, 4, 0, VfL Wolfsburg, "Saturday, November 6, 2004"," Frankenstadion (22,291)"
VfL Bochum, 1, 1, Kaiserslautern, "Saturday, November 6, 2004"," Ruhrstadion (22,977)"
Hansa Rostock, 0, 2, Nurnberg, "Sunday, October 31, 2004"," Ostseestadion (15,000)"
Kaiserslautern, 2, 1, Arminia Bielefeld, "Sunday, October 31, 2004"," Fritz-Walter Stadion (31,351)"
Borussia Dortmund, 1, 0, Bayer Leverkusen, "Saturday, October 30, 2004"," Westfalenstadion (78,000)"
