home, homescore, awayscore, away, date, group
Murcia, 2, 3, Levante, "Sunday, January 27, 2008", "Nueva Condomina "
Racing Santander, 2, 2, Real Zaragoza, "Sunday, January 27, 2008", "El Sardinero "
Recreativo Huelva, 1, 3, Getafe, "Sunday, January 27, 2008", "Nuevo Colombino "
Valencia, 0, 1, Almeria, "Sunday, January 27, 2008", "Mestalla "
Athletic Bilbao, 1, 1, Barcelona, "Sunday, January 27, 2008", "Antiguo San Mamés "
Real Madrid, 3, 2, Villarreal, "Sunday, January 27, 2008", "Santiago Bernabéu "
Sevilla FC, 2, 1, Osasuna, "Saturday, January 26, 2008", "Ramón Sánchez Pizjuán "
Almeria, 1, 0, Deportivo La Coruña, "Sunday, January 20, 2008", "Juegos Mediterráneos "
Levante, 2, 2, Mallorca, "Sunday, January 20, 2008", "Ciutat de València "
Osasuna, 2, 0, Athletic Bilbao, "Sunday, January 20, 2008", "El Sadar "
Real Betis, 1, 1, Recreativo Huelva, "Sunday, January 20, 2008", "Benito Villamarín "
Real Valladolid, 2, 1, Espanyol, "Sunday, January 20, 2008", "José Zorrilla "
Real Zaragoza, 3, 1, Murcia, "Sunday, January 20, 2008", "La Romareda "
Atletico Madrid, 0, 2, Real Madrid, "Sunday, January 20, 2008", "Vicente Calderón "
Barcelona, 1, 0, Racing Santander, "Sunday, January 20, 2008", "Camp Nou "
Getafe, 3, 2, Sevilla FC, "Saturday, January 19, 2008", "Coliseum Alfonso Pérez "
Villarreal, 3, 0, Valencia, "Saturday, January 19, 2008", "El Madrigal "
Almeria, 1, 0, Espanyol, "Sunday, January 13, 2008", "Juegos Mediterráneos "
Osasuna, 0, 2, Racing Santander, "Sunday, January 13, 2008", "El Sadar "
Real Betis, 3, 2, Getafe, "Sunday, January 13, 2008", "Benito Villamarín "
Real Valladolid, 3, 1, Recreativo Huelva, "Sunday, January 13, 2008", "José Zorrilla "
Real Zaragoza, 2, 2, Mallorca, "Sunday, January 13, 2008", "La Romareda "
Villarreal, 4, 3, Deportivo La Coruña, "Sunday, January 13, 2008", "El Madrigal "
Levante, 0, 2, Real Madrid, "Sunday, January 13, 2008", "Ciutat de València "
Atletico Madrid, 1, 0, Valencia, "Sunday, January 13, 2008", "Vicente Calderón "
Barcelona, 4, 0, Murcia, "Saturday, January 12, 2008", "Camp Nou "
Athletic Bilbao, 2, 0, Sevilla FC, "Saturday, January 12, 2008", "Antiguo San Mamés "
Deportivo La Coruña, 0, 3, Atletico Madrid, "Sunday, January 6, 2008", "Municipal de Riazor "
Getafe, 0, 3, Real Valladolid, "Sunday, January 6, 2008", "Coliseum Alfonso Pérez "
Murcia, 2, 0, Osasuna, "Sunday, January 6, 2008", "Nueva Condomina "
Racing Santander, 1, 0, Athletic Bilbao, "Sunday, January 6, 2008", "El Sardinero "
Recreativo Huelva, 1, 1, Almeria, "Sunday, January 6, 2008", "Nuevo Colombino "
Valencia, 0, 0, Levante, "Sunday, January 6, 2008", "Mestalla "
Real Madrid, 2, 0, Real Zaragoza, "Sunday, January 6, 2008", "Santiago Bernabéu "
Sevilla FC, 3, 0, Real Betis, "Sunday, January 6, 2008", "Ramón Sánchez Pizjuán "
Mallorca, 0, 2, Barcelona, "Saturday, January 5, 2008", "Iberostar Estadi "
Espanyol, 3, 0, Villarreal, "Saturday, January 5, 2008", "Estadio Olimpico de Montjuic "
