home, homescore, awayscore, away, date, group
Bayer Leverkusen, 4, 0, VfB Stuttgart, "Sunday, November 29, 2009", BayArena (30,210)
Hannover 96, 0, 3, Bayern Munich, "Sunday, November 29, 2009", AWD-Arena (49,000)
Hertha Berlin, 1, 3, Eintracht Frankfurt, "Saturday, November 28, 2009", Olympiastadion (48,253)
Mainz, 1, 1, Hamburg SV, "Saturday, November 28, 2009", Stadion am Bruchweg (20,300)
Nurnberg, 0, 1, SC Freiburg, "Saturday, November 28, 2009", EasyCredit-Stadion (40,824)
TSG Hoffenheim, 1, 2, Borussia Dortmund, "Saturday, November 28, 2009", Rhein-Neckar-Arena (30,150)
Werder Bremen, 2, 2, VfL Wolfsburg, "Saturday, November 28, 2009", Weserstadion (34,523)
Borussia Monchengladbach, 1, 0, Schalke 04, "Saturday, November 28, 2009", Borussia-Park (54,054)
VfL Bochum, 0, 0, FC Cologne, "Friday, November 27, 2009", rewirpowerSTADION (29,102)
Bayern Munich, 1, 1, Bayer Leverkusen, "Sunday, November 22, 2009", Allianz Arena (69,000)
Hamburg SV, 0, 1, VfL Bochum, "Sunday, November 22, 2009", Imtech Arena (53,838)
Eintracht Frankfurt, 1, 2, Borussia Monchengladbach, "Saturday, November 21, 2009", Commerzbank Arena (50,000)
FC Cologne, 0, 4, TSG Hoffenheim, "Saturday, November 21, 2009", RheinEnergieStadion (45,000)
SC Freiburg, 0, 6, Werder Bremen, "Saturday, November 21, 2009", badenova-Stadion (24,000)
Schalke 04, 2, 0, Hannover 96, "Saturday, November 21, 2009", Veltins-Arena (61,505)
VfB Stuttgart, 1, 1, Hertha Berlin, "Saturday, November 21, 2009", Mercedes-Benz Arena (39,000)
VfL Wolfsburg, 2, 3, Nurnberg, "Saturday, November 21, 2009", Volkswagen Arena (28,736)
Borussia Dortmund, 0, 0, Mainz, "Saturday, November 21, 2009", Signal Iduna Park (64,600)
Hannover 96, 2, 2, Hamburg SV, "Sunday, November 8, 2009", AWD-Arena (49,000)
Hertha Berlin, 0, 1, FC Cologne, "Sunday, November 8, 2009", Olympiastadion (48,623)
