home, homescore, awayscore, away, date, group
Werder Bremen, 1, 2, Arminia Bielefeld, "Sunday, February 1, 2009", Weserstadion (39,000)
Borussia Dortmund, 1, 1, Bayer Leverkusen, "Saturday, January 31, 2009", Signal Iduna Park (73,700)
FC Cologne, 1, 1, VfL Wolfsburg, "Saturday, January 31, 2009", RheinEnergieStadion (49,000)
Hannover 96, 1, 0, Schalke 04, "Saturday, January 31, 2009", AWD-Arena (45,667)
Hertha Berlin, 2, 1, Eintracht Frankfurt, "Saturday, January 31, 2009", Olympiastadion (39,847)
TSG Hoffenheim, 2, 0, Energie Cottbus, "Saturday, January 31, 2009", WIRSOL Rhein-Neckar-Arena (30,150)
VfB Stuttgart, 2, 0, Borussia Monchengladbach, "Saturday, January 31, 2009", Mercedes-Benz Arena (41,000)
Hamburg SV, 1, 0, Bayern Munich, "Friday, January 30, 2009", Imtech Arena (57,000)
TSG Hoffenheim, 1, 1, Schalke 04, "Sunday, December 14, 2008", Carl-Benz-Stadion (26,300)
Bayer Leverkusen, 1, 1, Energie Cottbus, "Saturday, December 13, 2008", BayArena (19,500)
Hamburg SV, 1, 0, Eintracht Frankfurt, "Saturday, December 13, 2008", Imtech Arena (55,274)
Hannover 96, 1, 1, Arminia Bielefeld, "Saturday, December 13, 2008", AWD-Arena (36,672)
Hertha Berlin, 4, 0, Karlsruhe, "Saturday, December 13, 2008", Olympiastadion (38,421)
VfB Stuttgart, 2, 2, Bayern Munich, "Saturday, December 13, 2008", Mercedes-Benz Arena (55,700)
VfL Bochum, 1, 2, FC Cologne, "Saturday, December 13, 2008", rewirpowerSTADION (30,208)
Werder Bremen, 2, 1, VfL Wolfsburg, "Saturday, December 13, 2008", Weserstadion (32,100)
Borussia Dortmund, 2, 1, Borussia Monchengladbach, "Friday, December 12, 2008", Signal Iduna Park (79,700)
FC Cologne, 1, 2, Hamburg SV, "Sunday, December 7, 2008", RheinEnergieStadion (50,000)
VfL Wolfsburg, 2, 1, Hannover 96, "Sunday, December 7, 2008", Volkswagen Arena 
Arminia Bielefeld, 0, 0, Borussia Dortmund, "Saturday, December 6, 2008", SchÃ¼coArena (25,400)
Borussia Monchengladbach, 1, 3, Bayer Leverkusen, "Saturday, December 6, 2008", Borussia-Park (44,161)
Eintracht Frankfurt, 4, 0, VfL Bochum, "Saturday, December 6, 2008", Commerzbank Arena (39,400)
Energie Cottbus, 0, 3, VfB Stuttgart, "Saturday, December 6, 2008", Stadion der Freundschaft (13,527)
Karlsruhe, 1, 0, Werder Bremen, "Saturday, December 6, 2008", Wildparkstadion (29,400)
Schalke 04, 1, 0, Hertha Berlin, "Saturday, December 6, 2008", Veltins-Arena (61,000)
Bayern Munich, 2, 1, TSG Hoffenheim, "Friday, December 5, 2008", Allianz Arena (69,000)
Borussia Dortmund, 0, 0, VfL Wolfsburg, "Sunday, November 30, 2008", Signal Iduna Park (67,100)
VfB Stuttgart, 2, 0, Schalke 04, "Sunday, November 30, 2008", Mercedes-Benz Arena (55,800)
VfL Bochum, 1, 1, Hamburg SV, "Sunday, November 30, 2008", rewirpowerSTADION (23,157)
Bayer Leverkusen, 0, 2, Bayern Munich, "Saturday, November 29, 2008", BayArena (32,500)
Borussia Monchengladbach, 1, 3, Energie Cottbus, "Saturday, November 29, 2008", Borussia-Park (36,454)
Hannover 96, 3, 2, Karlsruhe, "Saturday, November 29, 2008", AWD-Arena (32,417)
TSG Hoffenheim, 3, 0, Arminia Bielefeld, "Saturday, November 29, 2008", Carl-Benz-Stadion (26,300)
Werder Bremen, 5, 0, Eintracht Frankfurt, "Saturday, November 29, 2008", Weserstadion (40,078)
Hertha Berlin, 2, 1, FC Cologne, "Friday, November 28, 2008", Olympiastadion (40,204)
Hamburg SV, 2, 1, Werder Bremen, "Sunday, November 23, 2008", Imtech Arena (56,121)
Arminia Bielefeld, 2, 1, Bayer Leverkusen, "Saturday, November 22, 2008", SchÃ¼coArena (20,700)
Bayern Munich, 4, 1, Energie Cottbus, "Saturday, November 22, 2008", Allianz Arena (69,000)
Eintracht Frankfurt, 4, 0, Hannover 96, "Saturday, November 22, 2008", Commerzbank Arena (39,000)
FC Cologne, 1, 3, TSG Hoffenheim, "Saturday, November 22, 2008", RheinEnergieStadion (50,000)
Schalke 04, 3, 1, Borussia Monchengladbach, "Saturday, November 22, 2008", Veltins-Arena (61,673)
VfL Bochum, 2, 3, Hertha Berlin, "Saturday, November 22, 2008", rewirpowerSTADION (18,248)
VfL Wolfsburg, 4, 1, VfB Stuttgart, "Saturday, November 22, 2008", Volkswagen Arena (24,000)
Karlsruhe, 0, 1, Borussia Dortmund, "Friday, November 21, 2008", Wildparkstadion (29,650)
Werder Bremen, 3, 1, FC Cologne, "Sunday, November 16, 2008", Weserstadion (42,000)
Bayer Leverkusen, 2, 1, Schalke 04, "Saturday, November 15, 2008", BayArena (22,500)
Borussia Dortmund, 4, 0, Eintracht Frankfurt, "Saturday, November 15, 2008", Signal Iduna Park (72,200)
Borussia Monchengladbach, 2, 2, Bayern Munich, "Saturday, November 15, 2008", Borussia-Park (54,067)
Energie Cottbus, 1, 0, Karlsruhe, "Saturday, November 15, 2008", Stadion der Freundschaft (13,000)
Hertha Berlin, 2, 1, Hamburg SV, "Saturday, November 15, 2008", Olympiastadion (48,825)
TSG Hoffenheim, 3, 2, VfL Wolfsburg, "Saturday, November 15, 2008", Carl-Benz-Stadion (26,300)
VfB Stuttgart, 0, 0, Arminia Bielefeld, "Saturday, November 15, 2008", Mercedes-Benz Arena (52,000)
Hannover 96, 1, 1, VfL Bochum, "Friday, November 14, 2008", AWD-Arena (30,827)
Eintracht Frankfurt, 2, 2, VfB Stuttgart, "Sunday, November 9, 2008", Commerzbank Arena (51,000)
Hertha Berlin, 1, 0, TSG Hoffenheim, "Sunday, November 9, 2008", Olympiastadion (59,000)
Schalke 04, 1, 2, Bayern Munich, "Sunday, November 9, 2008", Veltins-Arena (61,673)
Arminia Bielefeld, 0, 2, Borussia Monchengladbach, "Saturday, November 8, 2008", SchÃ¼coArena (24,600)
Hamburg SV, 2, 1, Borussia Dortmund, "Saturday, November 8, 2008", Imtech Arena (57,000)
Karlsruhe, 3, 3, Bayer Leverkusen, "Saturday, November 8, 2008", Wildparkstadion (28,200)
VfL Bochum, 0, 0, Werder Bremen, "Saturday, November 8, 2008", rewirpowerSTADION (24,000)
VfL Wolfsburg, 3, 0, Energie Cottbus, "Saturday, November 8, 2008", Volkswagen Arena (29,010)
FC Cologne, 2, 1, Hannover 96, "Friday, November 7, 2008", RheinEnergieStadion (47,000)
Borussia Dortmund, 1, 1, VfL Bochum, "Sunday, November 2, 2008", Signal Iduna Park (71,600)
Borussia Monchengladbach, 1, 2, Eintracht Frankfurt, "Sunday, November 2, 2008", Borussia-Park (44,773)
Bayern Munich, 3, 1, Arminia Bielefeld, "Saturday, November 1, 2008", Allianz Arena (69,000)
Energie Cottbus, 0, 2, Schalke 04, "Saturday, November 1, 2008", Stadion der Freundschaft (16,500)
Hannover 96, 3, 0, Hamburg SV, "Saturday, November 1, 2008", AWD-Arena (49,000)
TSG Hoffenheim, 4, 1, Karlsruhe, "Saturday, November 1, 2008", Carl-Benz-Stadion (26,300)
VfB Stuttgart, 1, 3, FC Cologne, "Saturday, November 1, 2008", Mercedes-Benz Arena (55,000)
Werder Bremen, 5, 1, Hertha Berlin, "Saturday, November 1, 2008", Weserstadion (40,218)
Bayer Leverkusen, 2, 0, VfL Wolfsburg, "Friday, October 31, 2008", BayArena (22,500)
Eintracht Frankfurt, 1, 2, Bayern Munich, "Wednesday, October 29, 2008", Commerzbank Arena (51,500)
FC Cologne, 0, 1, Borussia Dortmund, "Wednesday, October 29, 2008", RheinEnergieStadion (50,000)
Hamburg SV, 2, 0, VfB Stuttgart, "Wednesday, October 29, 2008", Imtech Arena (50,037)
Hertha Berlin, 3, 0, Hannover 96, "Wednesday, October 29, 2008", Olympiastadion (31,329)
VfL Bochum, 1, 3, TSG Hoffenheim, "Wednesday, October 29, 2008", rewirpowerSTADION (24,444)
Arminia Bielefeld, 1, 1, Energie Cottbus, "Tuesday, October 28, 2008", SchÃ¼coArena (18,200)
Karlsruhe, 0, 3, Schalke 04, "Tuesday, October 28, 2008", Wildparkstadion (29,000)
VfL Wolfsburg, 3, 0, Borussia Monchengladbach, "Tuesday, October 28, 2008", Volkswagen Arena (22,500)
Werder Bremen, 0, 2, Bayer Leverkusen, "Tuesday, October 28, 2008", Weserstadion (37,142)
Borussia Dortmund, 1, 1, Hertha Berlin, "Sunday, October 26, 2008", Signal Iduna Park (66,600)
TSG Hoffenheim, 3, 0, Hamburg SV, "Sunday, October 26, 2008", Carl-Benz-Stadion (26,300)
VfB Stuttgart, 2, 0, VfL Bochum, "Sunday, October 26, 2008", Mercedes-Benz Arena (43,000)
Bayern Munich, 4, 2, VfL Wolfsburg, "Saturday, October 25, 2008", Allianz Arena (69,000)
Borussia Monchengladbach, 1, 0, Karlsruhe, "Saturday, October 25, 2008", Borussia-Park (39,000)
Energie Cottbus, 2, 3, Eintracht Frankfurt, "Saturday, October 25, 2008", Stadion der Freundschaft (13,264)
Hannover 96, 1, 1, Werder Bremen, "Saturday, October 25, 2008", AWD-Arena (49,000)
Schalke 04, 0, 0, Arminia Bielefeld, "Saturday, October 25, 2008", Veltins-Arena (60,886)
Bayer Leverkusen, 2, 0, FC Cologne, "Friday, October 24, 2008", BayArena (22,500)
Eintracht Frankfurt, 2, 1, Karlsruhe, "Wednesday, October 22, 2008", Commerzbank Arena (46,000)
Hamburg SV, 1, 1, Schalke 04, "Sunday, October 19, 2008", Imtech Arena (57,000)
Eintracht Frankfurt, 0, 2, Bayer Leverkusen, "Saturday, October 18, 2008", Commerzbank Arena (48,000)
FC Cologne, 1, 0, Energie Cottbus, "Saturday, October 18, 2008", RheinEnergieStadion (45,000)
Hannover 96, 2, 5, TSG Hoffenheim, "Saturday, October 18, 2008", AWD-Arena (40,000)
Hertha Berlin, 2, 1, VfB Stuttgart, "Saturday, October 18, 2008", Olympiastadion (45,000)
Karlsruhe, 0, 1, Bayern Munich, "Saturday, October 18, 2008", Wildparkstadion (30,500)
VfL Wolfsburg, 4, 1, Arminia Bielefeld, "Saturday, October 18, 2008", Volkswagen Arena (22,000)
Werder Bremen, 3, 3, Borussia Dortmund, "Saturday, October 18, 2008", Weserstadion (42,100)
VfL Bochum, 2, 2, Borussia Monchengladbach, "Friday, October 17, 2008", rewirpowerSTADION (31,000)
Borussia Dortmund, 1, 1, Hannover 96, "Sunday, October 5, 2008", Signal Iduna Park (68,000)
Energie Cottbus, 1, 2, Hamburg SV, "Sunday, October 5, 2008", Stadion der Freundschaft (17,007)
Schalke 04, 2, 2, VfL Wolfsburg, "Sunday, October 5, 2008", Veltins-Arena (60,549)
Bayer Leverkusen, 0, 1, Hertha Berlin, "Saturday, October 4, 2008", BayArena (22,500)
Bayern Munich, 3, 3, VfL Bochum, "Saturday, October 4, 2008", Allianz Arena (69,000)
Borussia Monchengladbach, 1, 2, FC Cologne, "Saturday, October 4, 2008", Borussia-Park (54,067)
TSG Hoffenheim, 2, 1, Eintracht Frankfurt, "Saturday, October 4, 2008", Carl-Benz-Stadion (26,300)
VfB Stuttgart, 4, 1, Werder Bremen, "Saturday, October 4, 2008", Mercedes-Benz Arena (55,800)
Arminia Bielefeld, 1, 2, Karlsruhe, "Friday, October 3, 2008", SchÃ¼coArena (20,900)
Eintracht Frankfurt, 1, 1, Arminia Bielefeld, "Sunday, September 28, 2008", Commerzbank Arena (37,000)
Karlsruhe, 2, 1, VfL Wolfsburg, "Sunday, September 28, 2008", Wildparkstadion (25,293)
Borussia Dortmund, 3, 0, VfB Stuttgart, "Saturday, September 27, 2008", Signal Iduna Park (71,200)
Hamburg SV, 1, 0, Borussia Monchengladbach, "Saturday, September 27, 2008", Imtech Arena (57,000)
